"seller_state","customer_state","total_freight_value_2017","total_freight_value_2018","avg_seller_processing_time_2017","avg_seller_processing_time_2018","avg_carrier_processing_time_2017","avg_carrier_processing_time_2018","delay_value_pct_per_state_2017","delay_value_pct_per_state_2018","avg_review_2017","avg_review_2018","total_orders_2017","total_orders_2018"
RJ,MA,112.71999,690.60004,"4 days 11:48:16.666667","1 day 24:20:48.666667","14 days 09:08:09.666667","19 days 17:03:51.142857",0.0,15.015926957130432,4.5000000000000000,4.2857142857142857,4,21
MG,AL,451.64,850.97,"1 day 24:46:38.153846","3 days 35:08:43.9375","19 days 19:05:14","16 days 12:57:27.666667",18.28668713569641,14.941772818565369,3.6923076923076923,3.8125000000000000,13,16
MA,RS,,804.26,,"2 days 28:38:57.733333",,"16 days 14:08:38",,14.669385552406311,,4.2000000000000000,0,15
RJ,RN,90.7,522.49,"1 day 19:26:30.333333","2 days 21:28:17.538462","11 days 15:28:12.666667","16 days 23:44:33.769231",0.0,14.614634215831757,4.3333333333333333,4.3076923076923077,3,13
PR,RJ,4101.2017,15261.647,"2 days 22:42:42.7","2 days 22:20:49.548536","8 days 34:38:29.688524","14 days 23:48:31.659875",2.699696645140648,14.441238343715668,3.9267015706806283,3.6018376722817764,191,653
MG,MT,394.10004,1056.19,"1 day 28:30:23","2 days 26:08:08.541667","19 days 16:43:56.25","16 days 19:15:34.625",5.653386935591698,14.331701397895813,3.8461538461538462,4.0416666666666667,13,24
SP,AM,816.01,1866.0797,"1 day 26:23:03.032258","2 days 20:26:10.090909","16 days 18:28:16.333333","25 days 26:06:45.109091",0.0,14.129085838794708,4.5483870967741935,3.6909090909090909,31,55
RJ,PE,374.75998,2463.1897,"1 day 23:09:53.428571","2 days 18:32:57.233333","10 days 17:32:40.142857","13 days 18:35:07.383333",0.0,13.722451031208038,4.7857142857142857,3.9344262295081967,14,61
MG,BA,2392.0815,5132.303,"2 days 24:30:26.009009","1 day 33:30:00.601156","18 days 25:15:01.027273","13 days 14:07:57.745562",12.235786020755768,13.320139050483704,3.8571428571428571,3.9542857142857143,112,175
SC,MT,182.28,675.08997,"1 day 28:08:46","1 day 24:33:53.214285","24 days 35:08:56.333333","18 days 26:47:09.857143",22.822031378746033,13.296005129814148,3.2857142857142857,4.0714285714285714,7,14
BA,RJ,253.44002,1001.76,"33:22:48.333333","1 day 10:48:27.73913","7 days 22:32:43.916667","14 days 27:54:44.5",0.0,13.067999482154846,3.5833333333333333,4.1739130434782609,12,23
RJ,DF,240.33,864.4199,"1 day 15:35:00.416667","1 day 22:07:05.55102","10 days 17:30:51.333333","10 days 33:55:21.836735",0.0,12.721826136112213,4.0769230769230769,4.2857142857142857,13,49
MA,MG,,1047.0499,,"3 days 26:28:14.066667",,"13 days 14:27:44.766667",,12.666061520576477,,4.3666666666666667,0,30
RJ,SC,447.26004,1858.7202,"33:09:13.037037","2 days 32:46:54.186667","10 days 23:15:13.961539","11 days 25:46:30.554054",3.588516265153885,12.269193679094315,4.3571428571428571,3.8157894736842105,28,76
MG,CE,868.55,1155.8899,"1 day 21:19:34.961539","2 days 21:00:54","19 days 32:08:32.8","14 days 31:10:55",8.171089738607407,11.97432428598404,3.8846153846153846,4.2142857142857143,26,28
SP,RN,2525.1396,6782.851,"2 days 34:57:53.12","2 days 18:55:44.323529","18 days 33:11:02.84","16 days 20:45:06.656627",9.92261916399002,11.951317638158798,4.1200000000000000,3.9941176470588235,75,170
SC,RJ,4002.8396,5135.8213,"1 day 26:48:13.24","2 days 21:24:10.100503","10 days 23:54:02.832215","14 days 15:54:06.451777",11.338700354099274,11.883591115474701,4.1788079470198675,3.7350000000000000,151,200
MG,RJ,6756.4062,14480.637,"2 days 16:33:45.090909","2 days 17:48:24.741176","9 days 20:30:44.127536","11 days 26:48:01.858586",5.962488800287247,11.423736810684204,4.0619718309859155,3.8382066276803119,355,513
SP,DF,5193.819,16998.723,"2 days 25:49:18.377863","2 days 18:37:25.25697","8 days 32:43:56.015444","9 days 30:05:24.052696",1.2160608544945717,11.206778138875961,3.9624060150375940,3.9975786924939467,266,826
PR,CE,600.76,1482.5101,"1 day 26:48:38.611111","1 day 24:19:22.151516","25 days 31:50:00.555556","19 days 29:43:50.03125",14.816232025623322,11.19047924876213,3.5263157894736842,3.3939393939393939,19,33
SP,SC,9914.032,29414.307,"2 days 15:46:59.933071","2 days 19:21:04.666918","11 days 19:48:21.245968","12 days 23:24:23.163513",8.126461505889893,11.070291697978973,4.0251937984496124,3.8260542168674699,516,1328
MG,PI,249.92,791.34,"31:03:57.375","2 days 30:21:06.235294","12 days 11:08:00","12 days 36:01:12.588235",0.0,10.465791821479797,4.1250000000000000,4.3529411764705882,8,17
SP,PE,7215.498,18433.68,"2 days 17:41:22.56621","2 days 14:11:56.065217","16 days 16:56:18.509615","14 days 28:28:05.697436",6.253205984830856,10.420600324869156,3.9424778761061947,3.9364548494983278,226,598
RS,RJ,1136.1602,3373.2896,"2 days 19:35:57.1875","2 days 28:03:58.25641","7 days 28:53:54.489362","11 days 19:03:36.201755",0.0,10.374145954847336,4.2708333333333333,3.8205128205128205,48,117
